index,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint_x,Tumor Volume (mm3),Metastatic Sites,Timepoint_y
1,k403,Ramicane,Male,21,16,0,45,0,45
2,k403,Ramicane,Male,21,16,5,38.82589807,0,45
3,k403,Ramicane,Male,21,16,10,35.01427146,1,45
4,k403,Ramicane,Male,21,16,15,34.22399174,1,45
5,k403,Ramicane,Male,21,16,20,32.99772858,1,45
6,k403,Ramicane,Male,21,16,25,33.46457735,1,45
7,k403,Ramicane,Male,21,16,30,31.09949753,1,45
8,k403,Ramicane,Male,21,16,35,26.54699343,1,45
9,k403,Ramicane,Male,21,16,40,24.36550471,1,45
10,k403,Ramicane,Male,21,16,45,22.05012627,1,45
11,s185,Capomulin,Female,3,17,0,45,0,45
12,s185,Capomulin,Female,3,17,5,43.87849569,0,45
13,s185,Capomulin,Female,3,17,10,37.61494768,0,45
14,s185,Capomulin,Female,3,17,15,38.17723195,0,45
15,s185,Capomulin,Female,3,17,20,36.86687576,0,45
16,s185,Capomulin,Female,3,17,25,33.94994037,0,45
17,s185,Capomulin,Female,3,17,30,32.95967078,1,45
18,s185,Capomulin,Female,3,17,35,28.32853059,1,45
19,s185,Capomulin,Female,3,17,40,25.47214326,1,45
20,s185,Capomulin,Female,3,17,45,23.34359787,1,45
21,x401,Capomulin,Female,16,15,0,45,0,45
22,x401,Capomulin,Female,16,15,5,45.47375302,0,45
23,x401,Capomulin,Female,16,15,10,39.11389068,0,45
24,x401,Capomulin,Female,16,15,15,39.77625003,0,45
25,x401,Capomulin,Female,16,15,20,36.06583471,0,45
26,x401,Capomulin,Female,16,15,25,36.61712031,0,45
27,x401,Capomulin,Female,16,15,30,32.91529186,0,45
28,x401,Capomulin,Female,16,15,35,30.20682488,0,45
29,x401,Capomulin,Female,16,15,40,28.16739732,0,45
30,x401,Capomulin,Female,16,15,45,28.48403281,0,45
31,m601,Capomulin,Male,22,17,0,45,0,45
32,m601,Capomulin,Male,22,17,5,41.40859145,1,45
33,m601,Capomulin,Male,22,17,10,36.82536664,1,45
34,m601,Capomulin,Male,22,17,15,35.46461175,1,45
35,m601,Capomulin,Male,22,17,20,34.2557317,1,45
36,m601,Capomulin,Male,22,17,25,33.11875607,1,45
37,m601,Capomulin,Male,22,17,30,31.75827491,1,45
38,m601,Capomulin,Male,22,17,35,30.83435704,1,45
39,m601,Capomulin,Male,22,17,40,31.3780453,1,45
40,m601,Capomulin,Male,22,17,45,28.43096411,1,45
41,g791,Ramicane,Male,11,16,0,45,0,45
